Highest values: 
syntax: 22, (https://en.wikipedia.org/wiki/Serbia)
correct_nodes: 100.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_nodes: 6.67, (https://en.wikipedia.org/wiki/Moonlight)
correct_relationships: 100.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_relationships: 100.0, (https://en.wikipedia.org/wiki/Serbia)
correct_relationship_labels: 100.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_relationship_labels: 100.0, (https://en.wikipedia.org/wiki/Serbia)

Lowest values: 
syntax: 0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_nodes: 93.33, (https://en.wikipedia.org/wiki/Moonlight)
incorrect_nodes: 0.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_relationships: 0.0, (https://en.wikipedia.org/wiki/Serbia)
incorrect_relationships: 0.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_relationship_labels: 0.0, (https://en.wikipedia.org/wiki/Serbia)
incorrect_relationship_labels: 0.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)

Highest Accuracy Score: 1.0, https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids
Highest Error Score: 6.01, https://en.wikipedia.org/wiki/Serbia
