Highest values: 
syntax: 11, (https://en.wikipedia.org/wiki/History_of_the_bicycle)
correct_nodes: 100.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_nodes: 27.78, (https://en.wikipedia.org/wiki/Supernova)
correct_relationships: 100.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_relationships: 70.59, (https://en.wikipedia.org/wiki/History_of_the_bicycle)
correct_relationship_labels: 100.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_relationship_labels: 76.47, (https://en.wikipedia.org/wiki/History_of_the_bicycle)

Lowest values: 
syntax: 0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_nodes: 72.22, (https://en.wikipedia.org/wiki/Supernova)
incorrect_nodes: 0.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_relationships: 29.41, (https://en.wikipedia.org/wiki/History_of_the_bicycle)
incorrect_relationships: 0.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_relationship_labels: 23.53, (https://en.wikipedia.org/wiki/History_of_the_bicycle)
incorrect_relationship_labels: 0.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)

Highest Accuracy Score: 1.0, https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids
Highest Error Score: 3.14, https://en.wikipedia.org/wiki/History_of_the_bicycle
