Highest values: 
syntax: 2, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_nodes: 100.0, (https://en.wikipedia.org/wiki/Abacus)
incorrect_nodes: 40.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_relationships: 100.0, (https://en.wikipedia.org/wiki/Abacus)
incorrect_relationships: 75.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_relationship_labels: 100.0, (https://en.wikipedia.org/wiki/Abacus)
incorrect_relationship_labels: 50.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)

Lowest values: 
syntax: 0, (https://en.wikipedia.org/wiki/Abacus)
correct_nodes: 60.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_nodes: 0.0, (https://en.wikipedia.org/wiki/Abacus)
correct_relationships: 25.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_relationships: 0.0, (https://en.wikipedia.org/wiki/Abacus)
correct_relationship_labels: 50.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_relationship_labels: 0.0, (https://en.wikipedia.org/wiki/Abacus)

Highest Accuracy Score: 1.0, https://en.wikipedia.org/wiki/Abacus
Highest Error Score: 0.91, https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids
