Highest values: 
syntax: 3, (https://en.wikipedia.org/wiki/History_of_the_bicycle)
correct_nodes: 100.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_nodes: 41.67, (https://en.wikipedia.org/wiki/Dinosaur)
correct_relationships: 100.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_relationships: 57.14, (https://en.wikipedia.org/wiki/Supernova)
correct_relationship_labels: 100.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_relationship_labels: 50.0, (https://en.wikipedia.org/wiki/Supernova)

Lowest values: 
syntax: 0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_nodes: 58.33, (https://en.wikipedia.org/wiki/Dinosaur)
incorrect_nodes: 0.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_relationships: 42.86, (https://en.wikipedia.org/wiki/Supernova)
incorrect_relationships: 0.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_relationship_labels: 50.0, (https://en.wikipedia.org/wiki/Supernova)
incorrect_relationship_labels: 0.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)

Highest Accuracy Score: 1.0, https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids
Highest Error Score: 1.03, https://en.wikipedia.org/wiki/History_of_the_bicycle
