Highest values: 
syntax: 5, (https://en.wikipedia.org/wiki/Battle_of_the_Boyne)
correct_nodes: 100.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_nodes: 17.65, (https://en.wikipedia.org/wiki/Limerick_(poetry))
correct_relationships: 100.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_relationships: 40.0, (https://en.wikipedia.org/wiki/Battle_of_the_Boyne)
correct_relationship_labels: 100.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
incorrect_relationship_labels: 40.0, (https://en.wikipedia.org/wiki/Battle_of_the_Boyne)

Lowest values: 
syntax: 0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_nodes: 82.35, (https://en.wikipedia.org/wiki/Limerick_(poetry))
incorrect_nodes: 0.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_relationships: 60.0, (https://en.wikipedia.org/wiki/Battle_of_the_Boyne)
incorrect_relationships: 0.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)
correct_relationship_labels: 60.0, (https://en.wikipedia.org/wiki/Battle_of_the_Boyne)
incorrect_relationship_labels: 0.0, (https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids)

Highest Accuracy Score: 1.0, https://en.wikipedia.org/wiki/List_of_fictional_robots_and_androids
Highest Error Score: 1.45, https://en.wikipedia.org/wiki/Battle_of_the_Boyne
